entity,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
aichi,162000,155200,154100,154500,153500,157300,147700,141300,144300,140800,137700,137200,134300,130900,130800,123800,130200,132500
akita,535800,508600,488500,512100,522000,529100,546500,522400,515400,498800,491100,526800,527400,501200,456500,458200,490000,513900
aomori,300600,286700,285500,280500,295900,302600,296500,268000,257300,258700,263400,282200,283900,256900,235200,248700,264200,274200
chiba,347100,326700,332800,321900,334000,337400,335900,307200,305800,299700,301400,289000,297500,277800,259500,265700,287900,305200
ehime,82300,77100,78200,77300,75000,75600,73500,71200,72100,70600,69200,63900,63500,67300,68600,64600,63800,66200
fukui,141800,134000,138800,138600,137000,139400,133600,132600,134300,130700,132500,130500,130000,126200,121000,116500,124800,130300
fukuoka,198400,196600,191500,194700,188700,185400,178900,175200,180400,181700,182900,158900,145200,163700,164000,157400,152200,175900
fukushima,438200,436600,445700,353600,368700,382600,381900,365400,356300,351400,364100,368500,367000,335800,317300,327600,356800,387600
gifu,122000,113600,118300,119300,121000,122300,116200,108200,107900,106900,107600,108500,105800,103200,100800,100200,101900,108600
gunma,91700,91000,73100,88200,90400,89600,86700,77300,77600,77300,78900,75300,76900,73300,72300,70100,71400,75600
hiroshima,141200,135500,134900,136000,140100,135200,127200,125200,128000,126600,122900,113300,112800,115900,114500,112900,108400,111500
hokkaido,647500,543400,601700,634500,640600,629400,640500,602600,578600,581800,514800,588100,594400,573700,553200,540200,562400,578000
hyogo,200900,190800,188600,189700,192300,194300,184600,186900,185400,183400,182000,182900,174100,175800,177000,170000,166900,181600
ibaraki,415600,401900,402200,393400,409300,411400,409400,355000,361100,357500,358400,344200,360000,344800,319200,316400,338800,364000
ishikawa,139100,134900,138300,137300,138900,139400,135100,136200,136700,131300,130300,133000,131400,125400,122900,121200,116200,121800
iwate,304500,301200,312500,297600,305200,300300,309100,287800,271600,265400,273100,279800,278700,268600,247600,249100,258900,267400
kagawa,77700,75400,76800,71000,73100,73900,67400,63900,67100,62000,59900,56500,58000,56600,55700,50600,48200,52800
kagoshima,122500,122000,118800,117600,110400,114900,105800,98900,101400,99100,92400,88500,88400,89100,86000,83400,80400,91200
kanagawa,16400,16000,15400,16500,15800,15600,15700,15200,15400,15700,15200,14300,14200,14400,14400,14200,13700,14200
kochi,67000,63500,58700,59200,57900,58400,55600,53300,54000,54600,50700,47900,48900,49600,49700,46800,46700,49600
kumamoto,207200,204500,202200,196700,190900,192800,187900,178000,177800,175500,176200,160800,156500,156300,156800,155400,153300,169100
kyoto,82500,76800,79600,79200,81000,82200,77100,76500,76400,75000,72800,72700,71600,71600,72000,69300,71700,72900
mie,159200,148600,155000,147900,152600,156100,144800,138700,144100,131500,137200,130200,129800,130200,130800,126300,120800,132600
miyagi,377900,387800,400000,363200,392400,398500,397400,364800,369000,354700,371400,376900,377000,353400,326500,344700,366100,378100
miyazaki,104200,103800,99700,92900,90300,93600,90600,80300,83700,81300,79400,74900,76000,77800,75200,71400,69700,74300
nagano,219400,205900,211800,206600,208600,217400,202400,200500,204000,203200,199000,198400,192700,189900,187300,187900,187900,191600
nagasaki,68600,67500,62900,66600,64100,63200,61100,59900,59500,57400,57400,51900,46800,50800,48900,48800,45900,47600
nara,49400,47700,47300,48400,48400,48400,46600,45700,45700,44900,44100,43700,40900,43200,43900,42700,42100,41600
niigata,644100,626900,617800,631600,655700,664300,656900,619200,678600,611700,627600,646100,666800,620000,631000,591700,622800,637900
oita,128700,124500,120800,117300,115900,115400,112200,104700,107800,106300,103700,89600,81400,95500,93200,89900,88400,98400
okayama,185500,181000,172000,176400,172300,169500,160700,158700,162600,163700,156100,155600,150500,150900,147200,142900,142800,151600
okinawa,3160,2890,2680,2540,2450,2510,2400,2320,2340,2190,2200,2000,2090,2160,1920,1850,1950,1980
osaka,29700,28900,28300,28800,28800,28300,27500,26900,26800,26100,24700,24300,22200,22600,22800,22300,20700,20100
saga,139100,141800,137100,141200,135400,131100,125400,129500,130400,130600,129300,71800,104200,118800,117200,115700,113100,129600
saitama,175800,177400,152100,170700,171600,170300,172300,154600,156600,156100,155400,154200,158200,152400,142400,137500,140900,146600
shiga,176000,170000,170800,167800,173500,176700,165700,166800,170300,163900,162300,161400,158300,156200,151700,142600,146800,159700
shimane,99100,94600,93500,97700,99100,98200,93600,90000,93500,90800,91700,87500,87400,87500,85100,82900,80300,88000
shizuoka,93400,89000,89600,92700,89800,89100,86400,82200,84000,80900,79900,81200,74100,77400,76400,78400,70200,77300
tochigi,347300,343700,341900,350100,343800,363400,343800,309600,316300,293800,321800,311400,318500,300900,270300,284200,286200,327000
tokushima,70100,64500,63600,61100,63000,65300,59700,54400,57300,55200,53600,52400,52400,47900,47600,45700,46500,52900
tokyo,765,753,709,700,670,668,661,632,627,580,555,519,496,486,484,465,443,468
tottori,72600,68300,72000,71800,73800,73200,67700,66000,66300,65500,63700,65300,66000,63600,62200,57200,59200,64000
toyama,219100,212100,214100,214300,209000,216800,213700,215800,215600,205300,205900,205700,206300,200000,197400,185900,189000,194700
wakayama,39000,37600,37400,37300,37400,37300,35600,34400,34100,33300,31600,31400,28900,30300,31000,29200,28700,29900
yamagata,417100,401500,406500,392200,403500,415300,423000,400900,395200,385700,374100,404400,402400,393800,365300,359300,354500,381300
yamaguchi,124500,118800,116400,118500,116100,111500,107700,106100,107500,105800,103400,91500,73000,93100,92600,87200,86200,94100
yamanashi,29100,28000,27900,28800,28600,29000,27800,27300,27300,27200,26600,26500,25800,25800,25500,25700,25000,24400
